HIP,RA_rad,Dec_rad,parallax,pmRA,pmDec,HpMag
8993,0.5054933093,0.4115022626,5.85,11.44,-10.05,5.9283
9007,0.5059151382,-0.9007572172,56.02,680.92,283.46,3.8511
9009,0.506145762,1.1987840251,4.65,14.96,-10.11,4.9527
9021,0.5068166981,0.6501666319,10.31,184.18,11.47,5.8529
9061,0.5090659014,-0.3931652872,9.24,63.33,-30.1,5.0531
9095,0.511235495,-0.827029486,13.14,104.29,10.54,4.9864
9110,0.5120384029,0.310975596,6.27,34.76,-22.95,5.2589
9132,0.5136893319,0.4852804893,7.13,13.29,-59.67,5.9114
9153,0.5145649062,0.4118295652,25.32,-92.55,-13.25,4.8582
9222,0.5173082961,0.8587762051,13.33,6.67,41.74,5.8612
9236,0.5182080074,-1.0745979068,45.43,263.66,26.77,2.9305
9312,0.5219981263,1.1278603663,13.28,35.39,-15.73,5.2961
9313,0.5220610176,-0.7335669349,11.12,-49.15,-99.65,5.7343
9326,0.5225943613,-0.3634574097,5.54,19.6,14.97,5.5194
9347,0.5236151246,-0.3678765214,11.14,134.92,-24.59,4.1012
9372,0.5255456833,-0.1487688292,6.85,86.13,-19.57,5.3545
9440,0.5290381224,-0.523626099,11.08,-109.37,-109.19,5.5008
9459,0.5310456845,-0.7803958856,8.69,-31.43,-47.73,5.2658
9480,0.5321472281,1.2375614198,28.36,-55.69,-8.71,4.5498
9487,0.5325290992,0.0482367341,21.66,32.45,0.04,3.8281
9505,0.5336398166,0.9509871361,4.48,34.32,-3.27,4.9807
9570,0.5365408962,0.580918028,8.33,-15.97,-7.22,5.5314
9573,0.5367024631,1.1238179044,1.86,-0.88,-2.35,5.6907
9589,0.5375327387,0.0022419461,11.61,76.15,21.69,5.4819
9598,0.5385933599,1.2639890797,20.76,-43.57,22.3,3.9602
9621,0.5395439898,0.4526589714,20.53,128.01,11.19,5.7591
9622,0.5396328585,-0.0716172156,6.02,8.31,-61.68,5.7274
9640,0.5406098378,0.7387952238,8.3,42.32,-49.3,2.2409
9677,0.5431922819,-0.5113263085,8.79,12.79,8.48,4.6405
9727,0.5459283365,1.3488158617,30.16,139.92,-47.79,5.3539
9763,0.5477117959,1.3284592824,8.15,-11.97,-20.63,5.3823
9836,0.5522449074,0.3952892244,17.96,17.86,-37.55,5.0756
9884,0.5548900421,0.4095027186,49.56,188.55,-148.08,2.1726
9977,0.5606249131,0.6607674026,17.04,154.36,-42.76,4.8326
9990,0.5614564742,1.0196842691,0.96,-1.37,-1.65,5.8124
10035,0.5635472847,-0.7595056963,6.26,-48.6,-51.92,5.9989
10053,0.5647075481,0.4527379472,11.3,70.46,-34.99,5.0654
10064,0.5652336717,0.6106451889,25.71,149.16,-39.1,3.0625
10155,0.569962141,0.34034625,5.84,87.88,-27.82,5.7378
10212,0.573134309,0.1495761601,24.56,-142.05,-114.54,5.757
10280,0.5775820986,0.528890868,11.22,-65.05,-60.5,5.0791
10305,0.5794000833,-0.0417737515,25.19,378.17,-70.63,5.7721
10306,0.5794481401,0.3702014879,34.64,163.49,5.22,5.3294
10320,0.5799190998,-0.5362322111,10.18,14.1,6.85,5.2714
10324,0.5803227759,0.1544049601,8.51,-26.87,-17.23,4.5172
10328,0.5805579719,0.2666847491,6.81,97.95,-20.3,5.8196
10340,0.5812921524,0.7719886102,6.15,-20.9,-14.46,4.9716
10366,0.5829413872,0.8912738982,15.39,347.28,-172.26,5.4642
10418,0.5857399597,-1.1840584493,4.2,26.01,45.05,5.6677
10513,0.5911254446,-1.1823966016,6.68,43.47,-13.16,5.828
10535,0.5921636272,0.4370872595,19.58,-89.72,-86.42,5.6885
10540,0.5923891684,0.4499999666,23.75,175.98,-66.49,5.888
10559,0.5931425134,0.5822239643,11.62,-14.07,-33.21,5.258
10602,0.5956299907,-0.8990559484,21.22,91.03,-22.23,3.5211
10642,0.5977017863,-0.1120825358,9.8,92.04,-108.21,5.6658
10644,0.5979510776,0.597335962,92.73,1151.83,-246.89,4.9831
10670,0.5991450381,0.5907471917,29.04,44.64,-52.57,4.0211
10718,0.6021255778,1.0105422892,7.94,60.83,4.88,5.9172
10723,0.6022277722,0.0306636837,41.06,366.69,370.63,5.7237
10732,0.6026873937,0.3473407856,7.29,-13.19,0.72,5.5924
10793,0.6062829348,0.4999089688,8.66,6.63,0,5.3089
10819,0.607727112,0.826936792,13.27,-60.03,-5.61,5.3248
10826,0.6080135631,-0.0519595123,10.91,9.33,-237.36,4.9898
10871,0.6104468482,-0.9764216868,5.29,23.1,18.54,5.926
10944,0.615095689,0.875309526,8.31,38.72,-31.9,5.5474
11001,0.6185027212,-1.1983330069,23.35,-49.95,2.48,4.098
11021,0.619347182,0.0069061267,3.03,-12.73,-7.58,5.3733
11029,0.619696641,-0.1880999692,33.72,153.14,-84.29,5.5187
11046,0.6204941329,-0.0154416299,12.48,-17.71,-46.31,5.5043
11060,0.6211506243,0.9746905757,1,0.86,-1.78,5.2722
11072,0.6219496095,-0.41567312,45.53,196.61,-4.98,5.3187
11090,0.6232543156,0.7225058301,21.27,-73.93,-97.5,5.8827
11102,0.6235664586,-0.8917286678,16.43,22.15,65.77,5.9685
11220,0.6301288686,0.8727803938,8.17,24.35,-37.1,5.3524
11249,0.6318851567,0.1851898716,3.74,20.09,-14.79,5.4559
11258,0.6322451268,-1.052636504,20.25,-71.69,-131.28,5.4522
11313,0.6354017315,0.8775282617,8.83,24.66,-15.13,4.851
11345,0.636827908,-0.2145088552,7.15,-11.28,-9.48,4.8772
11348,0.6370725287,-0.2677529609,12.98,-47.1,-56.6,5.9217
11407,0.6413434159,-0.8325888425,6.42,19.32,-5.54,4.2002
11432,0.6434293054,0.5550382415,11.73,-24.33,-28.51,5.713
11477,0.6458947269,-0.5901141943,21.46,18.99,5.13,5.1641
11484,0.6464639924,0.1476564024,16.89,41.8,-13.55,4.2725
11486,0.6464983391,0.5178311304,20.07,-15.34,-85.95,5.3697
11569,0.6504251761,1.1763935256,24.55,-26.61,38.21,4.5135
11670,0.6568484206,0.440437572,19.32,62.71,-73.04,5.9694
11738,0.66104944,0.0395702167,7.1,21.22,-10.03,5.4248
11757,0.6617794504,-1.3807168701,11.49,137.24,-54.22,5.4354
11767,0.6622851337,1.5579531082,7.54,44.48,-11.85,2.1077
11783,0.6636088945,-0.2660635556,37.46,-80.21,-146.29,4.8432
11784,0.6636713293,0.6308882042,7.53,46.62,16.26,5.2802
11791,0.6639113515,-0.0180609721,12.28,-24.72,-32.08,5.5288
11918,0.6712763502,-0.4927472916,6.74,-13.24,-1.79,4.9548
12002,0.6750489763,-0.1371704628,7.11,57.16,-65.41,5.8935
12072,0.6791325009,0.6512223223,5.23,-1.04,-13.68,5.869
12086,0.6797184056,0.6054142993,5.16,25.74,-50.66,5.5064
12093,0.6801321877,0.097621526,9.59,-26.51,-22.32,5.0189
12107,0.680683364,-0.1366846392,7.01,-34.97,-59.99,5.6141
12114,0.6809571149,0.1201373727,139.27,1807.78,1444.02,5.9524
12122,0.6813530091,-0.5243835388,5.6,-17.45,-6.18,5.9055
12148,0.6832312172,0.1349153073,11.02,-57,-18.3,5.9767
12153,0.6834235733,0.217255902,28.79,282.19,-86.84,5.7528
12186,0.6849414359,-0.603488524,38.79,-18.35,-259.35,5.9086
12225,0.6868063229,-0.917049891,21.95,112.7,3.73,5.3735
12239,0.6876602194,1.1474729596,3.53,42.91,-8.91,5.9255
12247,0.6880798823,-0.0592725674,10.81,40.18,-42.91,5.8154
12273,0.6895569131,1.2709175974,12.75,-28.51,16.08,5.3275
12288,0.6907573691,-0.5269826719,29.46,97.59,-74.25,5.9386
12332,0.6929683585,0.3832995174,9.68,-7.47,-15.9,5.5071
12387,0.695873557,0.0057336988,5.02,12.85,-2.94,4.0081
12390,0.6962214515,-0.2071981974,46.55,161.62,-230.53,4.9262
